青木,あおき
東北公済病院戦災復興記念館前,とうほくこうさいびょういんせんさいふっこうきねんかんまえ
東北工大長町キャンパス,とうほくこうだいながまちきゃんぱす
東北工大長町キャンパス入口,とうほくこうだいながまちきゃんぱすいりぐち
東北工大八木山キャンパス,とうほくこうだいやぎやまきゃんぱす
東北大川内キャンパス・萩ホール前,とうほくだいかわうちきゃんぱすはぎほーるまえ
東北大川内南キャンパス,とうほくだいかわうちみなみきゃんぱす
東北大学入試センター前,とうほくだいがくにゅうしせんたーまえ
東北大正門前,とうほくだいせいもんまえ
東北電力南営業所前,とうほくでんりょくみなみえいぎょうしょまえ
東北福祉大前,とうほくふくしだいまえ
ＪＲ東北福祉大前駅,じぇいあーるとうほくふくしだいまええき
国見浄水場・東北文化学園大前,くにみじょうすいじょうとうほくぶんかがくえんだいまえ
東北薬科大学病院入口,とうほくやっかだいがくびょういんいりぐち
東北薬科大・東北高校前,とうほくやっかだいとうほくこうこうまえ
遠野原,とおのはら
遠見塚,とおみづか
遠見塚三丁目,とおみづかさんちょうめ
遠見塚小学校前,とおみづかしょうがっこうまえ
遠見塚東,とおみづかひがし
通町二丁目,とおりちょうにちょうめ
常盤木学園前,ときわぎがくえんまえ
徳洲会病院前,とくしゅうかいびょういんまえ
特別支援学校前,とくべつしえんがっこうまえ
トラックターミナル・中税務署入口,とらっくたーみなるなかぜいむしょいりぐち
鳥居原,とりいはら
道祖神,どうそじん
道場,どうば
堂林,どうばやし
八木山動物公園前,やぎやまどうぶつこうえんまえ
ドミニコ学院前,どみにこがくいんまえ
中江一丁目,なかえいっちょうめ
中江公園前,なかえこうえんまえ
中江郵便局前,なかえゆうびんきょくまえ
中倉一丁目,なかくらいっちょうめ
中倉二丁目,なかくらにちょうめ
トラックターミナル・中税務署入口,とらっくたーみなるなかぜいむしょいりぐち
中田一丁目,なかだいっちょうめ
中田五丁目,なかだごちょうめ
中田三丁目,なかださんちょうめ
中田小学校前,なかだしょうがっこうまえ
中田神明東,なかだしんめいひがし
中田中央公園入口,なかだちゅうおうこうえんいりぐち
中田中央公園前,なかだちゅうおうこうえんまえ
中田中学校前,なかだちゅうがっこうまえ
中田二軒橋,なかだにけんばし
中田二丁目,なかだにちょうめ
中野,なかの
中野新町,なかのしんまち
仲の瀬橋,なかのせばし
中野高柳,なかのたかやなぎ
中野中学校前,なかのちゅうがっこうまえ
中原浄水場前,なかはらじょうすいじょうまえ
中法地公園前,なかほうぢこうえんまえ
中村,なかむら
中屋敷,なかやしき
中山入口,なかやまいりぐち
中山大橋,なかやまおおはし
中山九丁目,なかやまきゅうちょうめ
中山市民センター前,なかやましみんせんたーまえ
中山台一丁目,なかやまだいいっちょうめ
中山台入口,なかやまだいいりぐち
中山台二丁目,なかやまだいにちょうめ
中山七丁目,なかやまななちょうめ
中山二丁目,なかやまにちょうめ
中山八丁目,なかやまはっちょうめ
中山不動尊前,なかやまふどうそんまえ
中山吉成,なかやまよしなり
中山吉成一丁目,なかやまよしなりいっちょうめ
中山吉成南,なかやまよしなりみなみ
中山四丁目,なかやまよんちょうめ
中山六丁目,なかやまろくちょうめ
長袋,ながふくろ
長町一丁目,ながまちいっちょうめ
長町一丁目東,ながまちいっちょうめひがし
地下鉄長町駅・たいはっくる前,ちかてつながまちえきたいはっくるまえ
ＪＲ長町駅西口,じぇいあーるながまちえきにしぐち
ＪＲ長町駅東口,じぇいあーるながまちえきひがしぐち
長町三丁目,ながまちさんちょうめ
長町三丁目南,ながまちさんちょうめみなみ
長町七丁目,ながまちななちょうめ
長町七丁目北,ながまちななちょうめきた
長町八丁目,ながまちはっちょうめ
地下鉄長町南駅・太白区役所前,ちかてつながまちみなみえきたいはくくやくしょまえ
長町四丁目長町営業所前,ながまちよんちょうめながまちえいぎょうしょまえ
長町六丁目,ながまちろくちょうめ
長屋敷,ながやしき
長屋前,ながやまえ
梨野,なしの
七北田公園西口,ななきただこうえんにしぐち
七北田ダム入口,ななきただむいりぐち
七森,ななもり
鍋沼,なべぬま
並木,なみき
成田山,なりたさん
成田山入口,なりたさんいりぐち
南光台一丁目,なんこうだいいっちょうめ
南光台入口,なんこうだいいりぐち
南光台五丁目,なんこうだいごちょうめ
南光台五丁目東,なんこうだいごちょうめひがし
南光台三丁目,なんこうだいさんちょうめ
南光台三丁目公園前,なんこうだいさんちょうめこうえんまえ
南光台三丁目東,なんこうだいさんちょうめひがし
南光台三丁目南,なんこうだいさんちょうめみなみ
南光台集会所前,なんこうだいしゅうかいじょまえ
南光台小学校入口,なんこうだいしょうがっこういりぐち
南光台小学校前,なんこうだいしょうがっこうまえ
南光台商工会館前,なんこうだいしょうこうかいかんまえ
南光台中学校前,なんこうだいちゅうがっこうまえ
南光台七丁目,なんこうだいななちょうめ
南光台二丁目,なんこうだいにちょうめ
南光台東一丁目,なんこうだいひがしいっちょうめ
南光台東一丁目中央,なんこうだいひがしいっちょうめちゅうおう
南光台東一丁目西,なんこうだいひがしいっちょうめにし
南光台東小学校入口,なんこうだいひがししょうがっこういりぐち
南光台東二丁目,なんこうだいひがしにちょうめ
南光台保育園入口,なんこうだいほいくえんいりぐち
南光台南一丁目,なんこうだいみなみいっちょうめ
南光台南一丁目中,なんこうだいみなみいっちょうめなか
南光台南三丁目北,なんこうだいみなみさんちょうめきた
南光台南三郵便局前,なんこうだいみなみさんゆうびんきょくまえ
南光台南二丁目,なんこうだいみなみにちょうめ
南光台四丁目,なんこうだいよんちょうめ
南光台四丁目南,なんこうだいよんちょうめみなみ
南光台六丁目,なんこうだいろくちょうめ
南光台六丁目東,なんこうだいろくちょうめひがし
南光台六丁目南,なんこうだいろくちょうめみなみ
南材橋,なんざいばし
苦竹一丁目,にがたけいっちょうめ
苦竹駅前,にがたけえきまえ
二軒在家,にけんざいけ
二軒茶屋・東華中学校前,にけんちゃやとうかちゅうがっこうまえ
二高・宮城県美術館前,にこうみやぎけんびじゅつかんまえ
西泉,にしいずみ
西勝山,にしかつやま
西勝山入口,にしかつやまいりぐち
西勝山中央,にしかつやまちゅうおう
西勝山西,にしかつやまにし
錦ケ丘一丁目,にしきがおかいっちょうめ
錦ケ丘入口,にしきがおかいりぐち
錦ケ丘五丁目,にしきがおかごちょうめ
錦ケ丘七丁目,にしきがおかななちょうめ
錦ケ丘七丁目北・天文台入口,にしきがおかななちょうめきたてんもんだいいりぐち
錦ケ丘八丁目,にしきがおかはっちょうめ
錦ケ丘六丁目,にしきがおかろくちょうめ
錦町,にしきちょう
錦町公園前,にしきちょうこうえんまえ
西高校入口,にしこうこういりぐち
西国道維持出張所前,にしこくどういじしゅっちょうじょまえ
西多賀一丁目,にしたがいっちょうめ
西多賀一丁目西・三神峯公園入口,にしたがいっちょうめにしみかみねこうえんいりぐち
西多賀中学校前,にしたがちゅうがっこうまえ
西中山,にしなかやま
西中山中央,にしなかやまちゅうおう
西の平一丁目金剛沢小学校前,にしのだいらいっちょうめこんごうざわしょうがっこうまえ
西の平二丁目,にしのだいらにちょうめ
西雷神,にしらいじん
虹の丘団地入口,にじのおかだんちいりぐち
ニッカ橋,にっかばし
新川分校入口,にっかわぶんこういりぐち
日赤病院前,にっせきびょういんまえ
日辺,にっぺ
日辺沖田東,にっぺおきたひがし
日辺高田,にっぺたかだ
日辺田中,にっぺたなか
日辺徳照寺前,にっぺとくしょうじまえ
二ノ関屋敷,にのせきやしき
二の森,にのもり
二の森東,にのもりひがし
二本松,にほんまつ
東北大学入試センター前,とうほくだいがくにゅうしせんたーまえ
大和町二丁目・ＮＴＴ東北病院入口,やまとまちにちょうめえぬてぃーてぃーとうほくびょういんいりぐち
沼田,ぬまた
沼屋敷,ぬまやしき
根岸町,ねぎしまち
根白石,ねのしろいし
根白石市民センター前,ねのしろいししみんせんたーまえ
根白石下町,ねのしろいししもまち
根白石小学校前,ねのしろいししょうがっこうまえ
根白石デイサービスセンター入口,ねのしろいしでいさーびすせんたーいりぐち
農学部前,のうがくぶまえ
農業園芸センター前,のうぎょうえんげいせんたーまえ
野尻,のじり
野尻町北,のじりまちきた
野中,のなか
野村,のむら
配送センター前,はいそうせんたーまえ
萩ケ丘,はぎがおか
萩坂,はぎざか
萩野町一丁目,はぎのまちいっちょうめ
白山工業団地,はくさんこうぎょうだんち
博物館・国際センター前,はくぶつかんこくさいせんたーまえ
羽黒神社前,はぐろじんじゃまえ
橋本,はしもと
畠沢,はたけざわ
畑中,はたけなか
畑前,はたけまえ
畑前北,はたけまえきた
旗枠,はたわく
八幡一丁目,はちまんいっちょうめ
八幡五丁目,はちまんごちょうめ
八幡三丁目,はちまんさんちょうめ
八幡七丁目,はちまんななちょうめ
八幡六丁目,はちまんろくちょうめ
鼻毛橋,はなげばし
花坂下,はなさかしも
花輪,はなわ
浜堀,はまぼり
葉山町,はやままち
原町一丁目,はらのまちいっちょうめ
原ノ町駅・宮城野区役所前,はらのまちえきみやぎのくやくしょまえ
原町三丁目,はらのまちさんちょうめ
原町二丁目,はらのまちにちょうめ
判在家,はんざいけ
馬場,ばば
馬場小学校前,ばばしょうがっこうまえ
晩翠草堂前,ばんすいそうどうまえ
光ケ丘,ひかりがおか
東大野田,ひがしおおのだ
東勝山三丁目南,ひがしかつやまさんちょうめみなみ
東勝山中央,ひがしかつやまちゅうおう
東黒松団地,ひがしくろまつだんち
東黒松団地入口,ひがしくろまつだんちいりぐち
東警察署入口,ひがしけいさつしょいりぐち
東高校入口,ひがしこうこういりぐち
東七番丁・荒町市民センター前,ひがししちばんちょうあらまちしみんせんたーまえ
東四郎丸,ひがししろうまる
東仙台,ひがしせんだい
市営バス東仙台営業所前,しえいばすひがしせんだいえいぎょうしょまえ
東中田一丁目,ひがしなかだいっちょうめ
東中田五丁目,ひがしなかだごちょうめ
東中田三丁目,ひがしなかださんちょうめ
東中田市民センター前,ひがしなかだしみんせんたーまえ
東中田二丁目,ひがしなかだにちょうめ
東中田六丁目,ひがしなかだろくちょうめ
東八番丁,ひがしはちばんちょう
東墓園,ひがしぼえん
東前田,ひがしまえだ
東郵便局前,ひがしゆうびんきょくまえ
東六郷小学校前,ひがしろくごうしょうがっこうまえ
日向上,ひなたかみ
日向下,ひなたしも
日の出町一丁目,ひのでまちいっちょうめ
日の出町三丁目,ひのでまちさんちょうめ
日の出町二丁目,ひのでまちにちょうめ
平沢,ひらさわ
昼野,ひるの
広瀬,ひろせ
広瀬小学校前,ひろせしょうがっこうまえ
広瀬中学校前,ひろせちゅうがっこうまえ
広瀬通一番町,ひろせどおりいちばんちょう
地下鉄広瀬通駅,ちかてつひろせどおりえき
広瀬橋,ひろせばし
広瀬病院前,ひろせびょういんまえ
深野,ふかの
福岡,ふくおか
福岡小学校前,ふくおかしょうがっこうまえ
福沢入口,ふくざわいりぐち
福沢市民センター前,ふくざわしみんせんたーまえ
仙台高校・福祉大ウェルコム２１前,せんだいこうこうふくしだいうぇるこむにじゅういちまえ
東北福祉大前,とうほくふくしだいまえ
国見ケ丘三丁目福祉大野球場前,くにみがおかさんちょうめふくしだいがくやきゅうじょうまえ
福祉プラザ前,ふくしぷらざまえ
福田町,ふくだまち
福田町三丁目,ふくだまちさんちょうめ
福田町第二市営住宅前,ふくだまちだいにしえいじゅうたくまえ
福田町四丁目,ふくだまちよんちょうめ
福田町四丁目北,ふくだまちよんちょうめきた
福室希望園前,ふくむろきぼうえんまえ
福室三丁目,ふくむろさんちょうめ
福室小学校入口,ふくむろしょうがっこういりぐち
福室六丁目,ふくむろろくちょうめ
袋原,ふくろばら
袋原落合ポンプ場前,ふくろばらおちあいぽんぷじょうまえ
袋原三丁目,ふくろばらさんちょうめ
袋原市営住宅前,ふくろばらしえいじゅうたくまえ
袋原小学校前,ふくろばらしょうがっこうまえ
袋原台,ふくろばらだい
袋原中学校前,ふくろばらちゅうがっこうまえ
袋原南,ふくろばらみなみ
袋原四丁目,ふくろばらよんちょうめ
藤沢,ふじさわ
藤田,ふじた
藤田北裏,ふじたきたうら
藤田西,ふじたにし
附属小学校前,ふぞくしょうがっこうまえ
二木,ふたき
二木山王,ふたきさんのう
二口,ふたくち
双葉ケ丘入口,ふたばがおかいりぐち
札原,ふだはら
札屋敷,ふだやしき
二日町北四番丁,ふつかまちきたよんばんちょう
舟丁,ふなちょう
古川,ふるかわ
古城一丁目,ふるじろいっちょうめ
古城三丁目,ふるじろさんちょうめ
古城三丁目東,ふるじろさんちょうめひがし
古城二丁目,ふるじろにちょうめ
佛國寺前,ぶっこくじまえ
平成二丁目,へいせいにちょうめ
弁天前,べんてんまえ
朴沢,ほうざわ
法務省アパート前,ほうむしょうあぱーとまえ
保健環境センター・青年会館前,ほけんかんきょうせんたーせいねんかいかんまえ
保春院前丁,ほしゅんいんまえちょう
堀切,ほっきり
本沢三丁目,ほんざわさんちょうめ
本沢三丁目西,ほんざわさんちょうめにし
本沢二丁目,ほんざわにちょうめ
墓園北口,ぼえんきたぐち
墓園３区画前,ぼえんさんくかくまえ
墓園１１区画前,ぼえんじゅういちくかくまえ
墓園１３区画前,ぼえんじゅうさんくかくまえ
墓園１８区画前,ぼえんじゅうはちくかくまえ
墓園１６区画前,ぼえんじゅうろくくかくまえ
墓園正門前,ぼえんせいもんまえ
墓園２３区画前,ぼえんにじゅうさんくかくまえ
枡江小学校前,ますえしょうがっこうまえ
町頭,まちがしら
松が丘,まつがおか
松が丘入口,まつがおかいりぐち
松が丘中,まつがおかなか
松倉・盲導犬訓練センター前,まつくらもうどうけんくんれんせんたーまえ
松原,まつばら
松森中道,まつもりなかみち
松森明神,まつもりみょうじん
的場,まとば
丸山,まるやま
西多賀一丁目西・三神峯公園入口,にしたがいっちょうめにしみかみねこうえんいりぐち
水の森三丁目,みずのもりさんちょうめ
緑ケ丘一丁目,みどりがおかいっちょうめ
緑ケ丘一丁目北,みどりがおかいっちょうめきた
緑ケ丘入口,みどりがおかいりぐち
緑ケ丘三丁目,みどりがおかさんちょうめ
緑ケ丘郵便局前,みどりがおかゆうびんきょくまえ
緑ケ丘四丁目,みどりがおかよんちょうめ
港三丁目,みなとさんちょうめ
南切立,みなみきりたて
南警察署前,みなみけいさつしょまえ
南小泉三丁目,みなみこいずみさんちょうめ
南小泉三丁目中,みなみこいずみさんちょうめなか
南小泉二丁目,みなみこいずみにちょうめ
南小泉二丁目東,みなみこいずみにちょうめひがし
南小泉四丁目,みなみこいずみよんちょうめ
南小泉四丁目東,みなみこいずみよんちょうめひがし
南仙台駅東口,みなみせんだいえきひがしぐち
南高屋敷(北側),みなみたかやしき
南高屋敷(南側),みなみたかやしき
南中山一丁目,みなみなかやまいっちょうめ
南中山入口,みなみなかやまいりぐち
南中山五丁目,みなみなかやまごちょうめ
南中山三丁目,みなみなかやまさんちょうめ
南中山小学校入口,みなみなかやましょうがっこういりぐち
南中山児童センター前,みなみなかやまじどうせんたーまえ
南中山中学校前,みなみなかやまちゅうがっこうまえ
南長沼,みなみながぬま
南原田,みなみはらた
南吉成一丁目,みなみよしなりいっちょうめ
南吉成五丁目,みなみよしなりごちょうめ
南吉成三丁目,みなみよしなりさんちょうめ
南吉成小学校前,みなみよしなりしょうがっこうまえ
南吉成二丁目,みなみよしなりにちょうめ
南吉成四丁目,みなみよしなりよんちょうめ
宮教大前,みやきょうだいまえ
宮城一高前,みやぎいちこうまえ
宮城運輸支局前,みやぎうんゆしきょくまえ
宮城学院前,みやぎがくいんまえ
宮城県仙台合同庁舎前,みやぎけんせんだいごうどうちょうしゃまえ
二高・宮城県美術館前,にこうみやぎけんびじゅつかんまえ
宮城総合支所・愛子小学校前,みやぎそうごうししょあやししょうがっこうまえ
みやぎ台一丁目,みやぎだいいっちょうめ
みやぎ台入口,みやぎだいいりぐち
みやぎ台五丁目,みやぎだいごちょうめ
みやぎ台三丁目,みやぎだいさんちょうめ
みやぎ台二丁目,みやぎだいにちょうめ
みやぎ台二丁目東,みやぎだいにちょうめひがし
みやぎ台四丁目,みやぎだいよんちょうめ
宮城野区役所前,みやぎのくやくしょまえ
原ノ町駅・宮城野区役所前,はらのまちえきみやぎのくやくしょまえ
宮城野高校入口,みやぎのこうこういりぐち
宮城野三丁目・聖和学園前,みやぎのさんちょうめせいわがくえんまえ
宮城野小仙台工業高前,みやぎのしょうせんだいこうぎょうこうまえ
宮城野消防署前,みやぎのしょうぼうしょまえ
宮城野原総合運動場前,みやぎのはらそうごううんどうじょうまえ
宮城広瀬高校・こども病院前,みやぎひろせこうこうこどもびょういんまえ
宮千代一丁目,みやちよいっちょうめ
宮千代三丁目,みやちよさんちょうめ
宮町一丁目,みやまちいっちょうめ
宮町五丁目・東照宮駅入口,みやまちごちょうめとうしょうぐうえきいりぐち
宮町三丁目,みやまちさんちょうめ
宮町二丁目,みやまちにちょうめ
向田入口,むかいだいりぐち
向原,むかいはら
向山高校前,むかいやまこうこうまえ
向山二丁目,むかいやまにちょうめ
向山保育所前,むかいやまほいくじょまえ
向山四丁目,むかいやまよんちょうめ
無線中継所仏舎利塔前,むせんちゅうけいじょぶっしゃりとうまえ
明成高校前,めいせいこうこうまえ
瞑想の松,めいそうのまつ
メディアテーク前,めでぃあてーくまえ
茂ケ崎,もがさき
茂庭,もにわ
茂庭台一丁目,もにわだいいっちょうめ
茂庭台五丁目,もにわだいごちょうめ
茂庭台中央,もにわだいちゅうおう
茂庭台四丁目,もにわだいよんちょうめ
茂庭本郷,もにわほんごう
文殊堂前,もんじゅどうまえ
雷神堂,らいじんどう
磊々峡入口,らいらいきょういりぐち
理学部自然史標本館前,りがくぶしぜんしひょうほんかんまえ
陸上自衛隊仙台駐屯地前,りくじょうじえいたいせんだいちゅうとんちまえ
陸前落合駅,りくぜんおちあいえき
陸前高砂駅,りくぜんたかさごえき
瀧澤寺前,りゅうたくじまえ
龍宝寺入口,りゅうほうじいりぐち
輪王寺前,りんのうじまえ
連坊一丁目,れんぼういっちょうめ
労災病院前,ろうさいびょういんまえ
６号公園住宅前,ろくごうこうえんじゅうたくまえ
六郷交番前,ろくごうこうばんまえ
六郷小学校前,ろくごうしょうがっこうまえ
六郷中学校入口,ろくごうちゅうがっこういりぐち
六丁の目北町,ろくちょうのめきたまち
六丁の目中町,ろくちょうのめなかまち
六丁の目西町,ろくちょうのめにしまち
六丁の目東町,ろくちょうのめひがしまち
六丁の目南町,ろくちょうのめみなみまち
八乙女一丁目,やおとめいっちょうめ
地下鉄八乙女駅,ちかてつやおとめえき
地下鉄八乙女駅入口,ちかてつやおとめえきいりぐち
八乙女小学校前,やおとめしょうがっこうまえ
八乙女中央五丁目,やおとめちゅうおうごちょうめ
八乙女中央三丁目,やおとめちゅうおうさんちょうめ
八乙女二丁目,やおとめにちょうめ
八乙女四丁目,やおとめよんちょうめ
八木山入口長徳寺前,やぎやまいりぐちちょうとくじまえ
八木山市民センター前,やぎやましみんせんたーまえ
八木山小学校前,やぎやましょうがっこうまえ
八木山神社前,やぎやまじんじゃまえ
八木山中学校前,やぎやまちゅうがっこうまえ
八木山動物公園前,やぎやまどうぶつこうえんまえ
八木山橋,やぎやまばし
八木山東二丁目,やぎやまひがしにちょうめ
八木山本町一丁目,やぎやまほんちょういっちょうめ
八木山本町二丁目北,やぎやまほんちょうにちょうめきた
八木山本町二丁目西,やぎやまほんちょうにちょうめにし
八木山本町二丁目若葉町入口,やぎやまほんちょうにちょうめわかばまちいりぐち
八木山松波町,やぎやままつなみちょう
八木山緑町,やぎやまみどりちょう
八木山南五丁目,やぎやまみなみごちょうめ
八木山南三丁目,やぎやまみなみさんちょうめ
八木山南団地入口,やぎやまみなみだんちいりぐち
八木山南六丁目,やぎやまみなみろくちょうめ
薬師堂,やくしどう
矢込,やこみ
八坂神社前,やさかじんじゃまえ
八沢川,やさわがわ
野草園前,やそうえんまえ
八ツ森,やつもり
山手町,やまてまち
大和小学校入口,やまとしょうがっこういりぐち
大和小学校東,やまとしょうがっこうひがし
大和町一丁目,やまとまちいっちょうめ
大和町ＮＴＴ東北病院前,やまとまちえぬてぃーてぃーとうほくびょういんまえ
大和町二丁目・ＮＴＴ東北病院入口,やまとまちにちょうめえぬてぃーてぃーとうほくびょういんいりぐち
郵政研修センター前,ゆうせいけんしゅうせんたーまえ
郵政ビル前,ゆうせいびるまえ
湯向,ゆむかい
夢メッセみやぎ前,ゆめめっせみやぎまえ
湯元市民センター前,ゆもとしみんせんたーまえ
湯元保育所前,ゆもとほいくしょまえ
要害,ようがい
横手,よこて
横前,よこまえ
吉成一丁目,よしなりいっちょうめ
吉成一丁目北,よしなりいっちょうめきた
吉成台二丁目,よしなりだいにちょうめ
吉成中学校前,よしなりちゅうがっこうまえ
吉成二丁目,よしなりにちょうめ
芳の平,よしのだいら
四ツ谷,よつや
澱橋通,よどみばしどおり
与兵衛沼入口,よへいぬまいりぐち
与兵衛沼公園前,よへいぬまこうえんまえ
八木山本町二丁目若葉町入口,やぎやまほんちょうにちょうめわかばまちいりぐち
若林一丁目,わかばやしいっちょうめ
若林区文化センター入口,わかばやしくぶんかせんたーいりぐち
若林区役所前,わかばやしくやくしょまえ
若林三丁目,わかばやしさんちょうめ
若林小学校前,わかばやししょうがっこうまえ
若林体育館前,わかばやしたいいくかんまえ
若林七丁目,わかばやしななちょうめ
若林二丁目,わかばやしにちょうめ
涌沢,わくさわ
